name,Add to List,Social,Format,Episodes,Episode Duration,Status,Season,Average Score,Mean Score,Popularity,Favorites,Studios,Producers,Source,Hashtag,Genres,Romaji,English,Native,Synonyms,Tags,External & Streaming links,Relations,Characters,Staff,Status Distribution,Score Distribution,Trailer,Recommendations
Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsuki Susumu,"['Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsuki Susumu', 'Meet Alto, a hapless student at Royal Ortigia Magic Academy whose academic performance leaves much to be desired. Rather than take a more sensible approach to salvaging his grades in time for graduation, Alto decides to summon a bit of otherworldly assistance. Only after does he learn he’s bound the legendary she-devil Vermeil into service as his familiar! But while Vermeil is a powerful ally sure to turn his grades around, her magic can only be replenished with a kiss, and that makes everything go to hell with Alto’s jealous childhood friend, Lilia.', '', '(Source: Sentai Filmworks)']","['#87 Highest Rated 2022', '#39 Most Popular 2022']",['TV'],['12'],['24 mins'],['Finished'],['Summer 2022'],['68%'],['68%'],['46828'],['1694'],['Staple Entertainment'],"['Hakuhodo DY Music & Pictures', 'Square Enix', 'Pony Canyon', 'Toei Video', 'BS11', 'AT-X', 'Studio Mausu', 'APDREAM']",['Manga'],['#ヴェルメイユ'],"['Ecchi', 'Fantasy', 'Romance']",['Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsuki Susumu'],['Vermeil in Gold'],['金装のヴェルメイユ～崖っぷち魔術師は最強の厄災と魔法世界を突き進む～'],"['Vermeil in Gold: A Desperate Magician Barges Into the Magical World Alongside the Strongest Calamity', 'เวอร์มีลแห่งเวทสีทอง: นักอาคมหวิดซิ่วกับอสูรรับใช้สุดแกร่งบุกตะลุยโลกเวทมนตร์', 'Vermeil in Gold - Il mago a rischio bocciatura e la calamità più forte si fanno strada nel mondo della magia']","['Magic', '95%', 'School', '95%', 'Succubus', '87%', 'Demons', '83%', 'Monster Girl', '82%', 'Male Protagonist', '81%', 'Heterosexual', '80%', 'Age Gap', '70%', 'Female Harem', '69%', 'Nudity', '66%', 'Primarily Teen Cast', '65%', 'Shounen', '64%', 'Love Triangle', '62%', 'Yandere', '60%', 'Angels', '20%', 'Show 2 spoiler tags']","['Official Site JP', 'Twitter JP', 'HIDIVE', '', '']","['Source', 'Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsuki Susumu', 'Manga · Releasing']","['Alto Goldfield', 'Main', 'Yuuya Hirose', 'Japanese', 'Vermeil', 'Main', 'Maaya Uchida', 'Japanese', 'Lilia Kudelfate', 'Main', 'Wakana Kuramochi', 'Japanese', 'Narrator', 'Supporting', 'Shinya Takahashi', 'Japanese', 'Sharol Iridescence', 'Supporting', 'Kaori Ishihara', 'Japanese', 'Marx Pearlston', 'Supporting', 'Yuu Okano', 'Japanese']","['Kouta Amana', 'Original Story', 'Youko Umezu', 'Original Character Design', 'Takashi Naoya', 'Director', 'Matsuo Asami', 'Assistant Director']","['Completed', '18666 Users', 'Planning', '14315 Users', 'Current', '9639 Users', 'Dropped', '3020 Users']",[],,
Engage Kiss,"['Engage Kiss', 'The anime is set in Bayron City, an artificial island city established, outside of any country\'s jurisdiction, in the Pacific Ocean to exploit local natural resources. In particular, the mining of the new energy resource orgonium has resulted in an outbreak of ""D disasters"" by demons in the city. Private military companies (PMCs) are tasked with dealing with these incidents.', '', ""The protagonist Shuu runs a small PMC, though his spending habits have left him constantly penniless. A demon girl named Kisara does contract work at Shuu's office and is constantly worried for him. Kisara attends a high school in Bayron City, and does everything from clerical work to household chores with confidence. Meanwhile, Ayano is Shu...""]","['#93 Highest Rated 2022', '#43 Most Popular 2022']",['TV'],['13'],['24 mins'],['Finished'],['Summer 2022'],['67%'],['67%'],['44212'],['1054'],['A-1 Pictures'],"['Aniplex', 'ABC Animation', 'Square Enix', 'Docomo Anime Store', 'Contents Seed', 'BS11', 'Nagoya Broadcasting Network']",['Multimedia Project'],['#エンゲージキス'],"['Action', 'Comedy', 'Romance', 'Supernatural']",['Engage Kiss'],['Engage Kiss'],['Engage Kiss'],"['エンゲージ・キス', 'Project Engage']","['Demons', '93%', 'Urban Fantasy', '82%', 'Love Triangle', '80%', 'Guns', '80%', 'Heterosexual', '78%', 'Male Protagonist', '75%', 'Henshin', '75%', 'Urban', '71%', 'Yandere', '70%', 'Swordplay', '66%', 'Age Gap', '60%', 'Succubus', '53%', 'Female Harem', '50%', 'Advertisement', '30%', 'Show 3 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'VRV', '', '', '', '']","['Alternative', 'Engage Kiss', 'Manga · Releasing']","['Shuu Ogata', 'Main', 'Souma Saitou', 'Japanese', 'Kisara', 'Main', 'Saya Aizawa', 'Japanese', 'Ayano Yuugiri', 'Main', 'Lynn', 'Japanese', 'Sharon Holygrail', 'Supporting', 'Rumi Ookubo', 'Japanese', 'Akino Yuugiri', 'Supporting', 'Akeno Watanabe', 'Japanese', 'Linhua Hachisuka', 'Supporting', 'Saori Oonishi', 'Japanese']","['Tsunako', 'Original Character Design', 'Tomoya Tanaka', 'Director', 'Fumiaki Maruto', 'Series Composition', 'Masaaki Takiyama', 'Character Design']","['Completed', '15141 Users', 'Planning', '13967 Users', 'Current', '9137 Users', 'Dropped', '4295 Users']",[],,
Kumichou Musume to Sewagakari,"['Kumichou Musume to Sewagakari', 'Kirishima Tooru was accustomed to solving all problems through violence and was called “the Demon of Sakuragi.” One day, the boss of the Sakuragi family suddenly summons Kirishima and appoints him caretaker of his only daughter, Yaeka! A heartwarming comedy about a yakuza crime family’s right-hand man and the boss’ only daughter. The two of them are about to begin their new daily lives together!', '', '(Source: Crunchyroll, edited)']","['#348 Highest Rated All Time', '#31 Highest Rated 2022']",['TV'],['12'],['24 mins'],['Finished'],['Summer 2022'],['78%'],['78%'],['41871'],['1254'],"['feel.', 'Gaina']","['bilibili', 'Micro Magazine Sha', 'Docomo Anime Store', 'Pony Canyon', 'Bushiroad Move', 'TOKYO MX', 'Micro House']",['Manga'],['#組長娘と世話係'],"['Comedy', 'Slice of Life']",['Kumichou Musume to Sewagakari'],"[""The Yakuza's Guide to Babysitting""]",['組長娘と世話係'],"['Con Gái Ông Trùm Và Người Giám Hộ', 'Kiedy yakuza zostaje niańką']","['Family Life', '92%', 'Yakuza', '91%', 'Josei', '79%', 'Primarily Adult Cast', '77%', 'Female Protagonist', '74%', 'Male Protagonist', '72%', 'Found Family', '64%', 'Urban', '63%', 'Iyashikei', '60%', 'Anti-Hero', '60%', 'Delinquents', '60%', 'Guns', '40%', 'LGBTQ+ Themes', '32%', 'Food', '30%', 'Show 2 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'VRV', 'YouTube (Ani-One Asia)', '', '']","['Source', 'Kumichou Musume to Sewagakari', 'Manga · Releasing', 'Other', 'Kumichou Musume to Sewagakari Picture Drama', 'ONA · Finished']","['Tooru Kirishima', 'Main', 'Yoshimasa Hosoya', 'Japanese', 'Yaeka Sakuragi', 'Main', 'Misaki Watada', 'Japanese', 'Kazuhiko Sakuragi', 'Supporting', 'Ryouta Takeuchi', 'Japanese', 'Kanami Kurosaki', 'Supporting', 'Misa Kobayashi', 'Japanese', 'Kei Sugihara', 'Supporting', 'Kaito Ishikawa', 'Japanese', 'Kouki Aoi', 'Supporting', 'Live Mukai', 'Japanese']","['Tsukiya', 'Original Creator', 'Itsurou Kawasaki', 'Director', 'Keiichirou Oochi', 'Series Composition', 'Hiromi Ogata', 'Character Design']","['Completed', '16556 Users', 'Planning', '14074 Users', 'Current', '8037 Users', 'Dropped', '1819 Users']",[],,
"Tensei Kenja no Isekai Life: Daini no Shokugyo wo Ete, Sekai Saikyou ni Narimashita","['Tensei Kenja no Isekai Life: Daini no Shokugyo wo Ete, Sekai Saikyou ni Narimashita', ""Getting isekai’d to a magical world and developing incredible powers is every otaku’s wildest dream, but for salaryman Yuuji Sano, it’s the stuff of absolute nightmare! He’s in the middle of a mountain of work when he gets unwillingly pulled into a fantasy realm, where he accomplishes the enviable feat of developing a second character class by making the most of his Monster Tamer abilities. Now he’s traded the office for adventuring to make a living, but he keeps getting roped into major events because his powers are unmatched, second to none — and he doesn't even realize it yet!"", '', '(Source: Sentai Filmworks)']","['#52 Most Popular 2022', '#15 Most Popular Summer 2022']",['TV'],['12'],['24 mins'],['Finished'],['Summer 2022'],['61%'],['61%'],['37285'],['1003'],['REVOROOT'],"['Pony Canyon', 'SB Creative', 'GREE Entertainment', 'Square Enix', 'Sammy', 'BS Fuji', 'BS Nippon', 'Movic']",['Light Novel'],['#転生賢者'],"['Action', 'Adventure', 'Comedy', 'Fantasy']","['Tensei Kenja no Isekai Life: Daini no Shokugyo wo Ete, Sekai Saikyou ni Narimashita']",['My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!'],['転生賢者の異世界ライフ ～第二の職業を得て、世界最強になりました～'],['เกิดใหม่ในต่างโลกเป็นปราชญ์แกร่งสุดโดยไม่รู้ตัว'],"['Isekai', '94%', 'Magic', '81%', 'Male Protagonist', '72%', 'Religion', '66%', 'Dragons', '60%', 'Show 2 spoiler tags']","['Official Site JP', 'Instagram JP', 'TikTok JP', 'Twitter JP', 'Bilibili TV', 'HIDIVE', 'YouTube (Ani-One Asia)', '', '']","['Source', 'Tensei Kenja no Isekai Life: Daini no Shokugyo wo Ete, Sekai Saikyou ni Narimashita', 'Light Novel · Releasing', 'Alternative', 'Tensei Kenja no Isekai Life: Daini no Shokugyo wo Ete, Sekai Saikyou ni Narimashita', 'Manga · Releasing']","['Yuuji', 'Main', 'Chiaki Kobayashi', 'Japanese', 'Dryad', 'Supporting', 'Azumi Waki', 'Japanese', 'Proud Wolf', 'Supporting', 'Wataru Takagi', 'Japanese', 'Sura', 'Supporting', 'Hikaru Toono', 'Japanese', 'Surapatch', 'Supporting', 'Mai Kanno', 'Japanese', 'Mayusura', 'Supporting', 'Haruna Mikawa', 'Japanese']","['Shotou Shinkou', 'Original Story', 'Huuka Kazabana', 'Original Character Design', 'Keisuke Kojima', 'Director', 'Kiyotaka Suzuki', 'Assistant Director']","['Completed', '14662 Users', 'Planning', '11725 Users', 'Current', '6772 Users', 'Dropped', '3362 Users']",[],,
Kuro no Shoukanshi,"['Kuro no Shoukanshi', 'Waking up in a strange new place with no memory of his past life, Kelvin learns that he’s bartered away those very memories in exchange for powerful new abilities during his recent transmigration. Heading out into a whole new world as a Summoner — with his first Follower being the very goddess who brought him over! — Kelvin begins his new life as an adventurer, and it isn’t long before he discovers his hidden disposition as a battle junkie. From the Black Knight of the Ancient Castle of Evil Spirits to the demon within the Hidden Cave of the Sage, he revels in the fight against one formidable foe after another. Join this OP adventurer in an exhilarating and epic saga as he and his allies carve their way into the annals o...']","['#70 Highest Rated 2022', '#55 Most Popular 2022']",['TV'],['12'],['24 mins'],['Finished'],['Summer 2022'],['71%'],['71%'],['35388'],['1136'],['Satelight'],"['bilibili', 'OVERLAP', 'Docomo Anime Store', 'flying DOG', 'Bushiroad Move', 'Bushiroad Creative']",['Light Novel'],['#黒の召喚士'],"['Action', 'Adventure', 'Fantasy']",['Kuro no Shoukanshi'],['Black Summoner'],['黒の召喚士'],['นักอัญเชิญทมิฬ'],"['Isekai', '100%', 'Magic', '96%', 'Male Protagonist', '89%', 'Reincarnation', '81%', 'Gods', '76%', 'Female Harem', '75%', 'Demons', '72%', 'Slavery', '68%', 'Elf', '67%', 'CGI', '65%', 'Afterlife', '46%', 'Religion', '30%']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'VRV', 'YouTube (Ani-One Asia)', '', '']","['Source', 'Kuro no Shoukanshi: The Berserker Rises to Greatness', 'Light Novel · Releasing', 'Alternative', 'Kuro no Shoukanshi', 'Manga · Releasing']","['Kelvin Celsius', 'Main', 'Kouki Uchiyama', 'Japanese', 'Efil', 'Main', 'Manaka Iwami', 'Japanese', 'Melfina', 'Supporting', 'Reina Ueda', 'Japanese', 'Kuroto', 'Supporting', 'Randhi', 'Japanese', 'Gerard', 'Supporting', 'Yousuke Akimoto', 'Japanese', 'Sera', 'Supporting', 'Minori Suzuki', 'Japanese']","['Doufu Mayoi', 'Original Story', 'Kurogin', 'Original Character Design', 'DAI-XT', 'Original Character Design', 'Yoshimasa Hiraike', 'Director']","['Completed', '20256 Users', 'Planning', '7509 Users', 'Current', '5763 Users', 'Dropped', '1369 Users']",[],,
Soredemo Ayumu wa Yosetekuru,"['Soredemo Ayumu wa Yosetekuru', 'Ayumu Tanaka just fell in love at first sight with Urushi Yaotome, the head of the illegitimate Shogi Club, and joined the Shogi Club! But Ayumu has vowed not to confess his feelings until he can best Urushi, and he has a long way to go before he can stand up to her strategic brilliance. As Ayumu strives to beat his crush and confess, love becomes a battlefield both on and off the shogi board while audiences wonder, “When will Ayumu make his move!?”', '', '(Source: Sentai Filmworks)']","['#77 Highest Rated 2022', '#57 Most Popular 2022']",['TV'],['12'],['24 mins'],['Finished'],['Summer 2022'],['70%'],['70%'],['33986'],['546'],['SILVER LINK.'],"['TBS', 'Pony Canyon', 'Kodansha', 'Days']",['Manga'],['#それあゆ'],"['Comedy', 'Romance', 'Slice of Life']",['Soredemo Ayumu wa Yosetekuru'],['When Will Ayumu Make His Move?'],['それでも歩は寄せてくる'],"['Shogi Senpai', 'Even so, Ayumu draws closer to the endgame', 'ขอรุกเข้าไปใกล้ๆ ใจเธอ', 'À quoi tu joues, Ayumu ?!']","['Shogi', '88%', 'School Club', '84%', 'Heterosexual', '82%', 'Primarily Teen Cast', '80%', 'School', '79%', 'Slapstick', '65%', 'Shounen', '34%', 'Cute Girls Doing Cute Things', '34%', 'Show 1 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'HIDIVE', '', '']","['Source', 'Soredemo Ayumu wa Yosetekuru', 'Manga · Releasing']","['Urushi Yaotome', 'Main', 'Kanna Nakamura', 'Japanese', 'Ayumu Tanaka', 'Main', 'Youhei Azakami', 'Japanese', 'Sakurako Mikage', 'Supporting', 'Hina Youmiya', 'Japanese', 'Takeru Kakuryuu', 'Supporting', 'Tsubasa Gouden', 'Japanese', 'Maki', 'Supporting', 'Kana Hanazawa', 'Japanese', 'Rin Kagawa', 'Supporting', 'Haruna Mikawa', 'Japanese']","['Souichirou Yamamoto', 'Original Creator', 'Mirai Minato', 'Director', 'Hitomi Mieno', 'Series Composition', 'Kazuya Hirata', 'Character Design']","['Planning', '15981 Users', 'Completed', '9407 Users', 'Current', '5451 Users', 'Dropped', '2010 Users']",[],,
Isekai Yakkyoku,"['Isekai Yakkyoku', 'A young pharmacologist and researcher in Japan died from overworking, and was reincarnated in a Medieval Parallel Europe. He was reincarnated as a 10-year-old apprentice to a famous Royal Court pharmacist, had attained an inhuman skills of ability to see through disease, material creation, and material destruction.', '', ""In a society in which dubious medical practice are rampant, price gouging thru the monopoly of the pharmacist guild, and good medicine aren't available to the commoners. He was recognized by the Emperor at that time and opened a Pharmacy at the corner of the town. He will wipe out the fraud that has swept the world, and deliver to the commoners a truly effective medicine that was developed using prese...""]","['#53 Highest Rated 2022', '#58 Most Popular 2022']",['TV'],['12'],['24 mins'],['Finished'],['Summer 2022'],['73%'],['73%'],['33710'],['940'],['diomedéa'],"['KADOKAWA', 'Frontier Works', 'Pony Canyon', 'Kansai TV', 'AT-X', 'BS Nippon']",['Light Novel'],['#異世界薬局'],['Fantasy'],['Isekai Yakkyoku'],['Parallel World Pharmacy'],['異世界薬局'],"['เภสัชกรเทพสองโลก', '奇幻世界药局']","['Medicine', '94%', 'Isekai', '93%', 'Reincarnation', '87%', 'Male Protagonist', '80%', 'Educational', '79%', 'Magic', '72%', 'Iyashikei', '65%', 'Gods', '55%', 'Historical', '53%', 'Alchemy', '45%', 'Show 2 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'VRV', 'YouTube (Muse Asia)', '', '']","['Source', 'Isekai Yakkyoku', 'Light Novel · Releasing', 'Alternative', 'Isekai Yakkyoku', 'Manga · Releasing']","['Pharma de Médicis', 'Main', 'Aki Toyosaki', 'Japanese', 'Eléonore Bonnefoi', 'Main', 'Reina Ueda', 'Japanese', 'Charlotte Soller', 'Main', 'Kaede Hondo', 'Japanese', 'Élisabeth II', 'Supporting', 'Shizuka Itou', 'Japanese', 'Bruno de Médicis', 'Supporting', 'Kenji Nomura', 'Japanese', 'Blanche de Médicis', 'Supporting', 'Maria Naganawa', 'Japanese']","['Liz Takayama', 'Original Story', 'keepout', 'Original Character Design', 'Keizou Kusakawa', 'Director', 'Wataru Watari', 'Series Composition']","['Completed', '18410 Users', 'Planning', '8313 Users', 'Current', '5388 Users', 'Dropped', '1036 Users']",[],,
RWBY: Hyousetsu Teikoku,"['RWBY: Hyousetsu Teikoku', 'In the world of Remnant, a place where science and fairy tales coexist, human civilization is plagued by deadly monsters known as the Grimm. For a time, victory by the Grimm seemed all but certain, if not for the heroism of those sworn to protect humanity -- Huntsmen and Huntresses. These warriors are trained and assembled into teams at schools like Beacon Academy, where Ruby meets Weiss and Blake -- forming Team RWBY along with Ruby’s sister, Yang. While team RWBY studies to become the greatest Huntresses the world of Remnant has ever known, they are faced with a horrifying threat..', '', '(Source: Crunchyroll)', '', 'Note: The first three episodes received an advance release on Crunchyroll on June 24, 2022. The ...']","['#72 Most Popular 2022', '#20 Most Popular Summer 2022']",['TV'],['12'],['24 mins'],['Finished'],['Summer 2022'],['61%'],['62%'],['26054'],['489'],['Shaft'],"['Bandai Namco Filmworks', 'Bandai Namco Music Live', 'Good Smile Company', 'Warner Bros. Japan', 'KLab']",['Multimedia Project'],['#RWBY'],"['Action', 'Fantasy', 'Sci-Fi']",['RWBY: Hyousetsu Teikoku'],['RWBY: Ice Queendom'],['RWBY 氷雪帝国'],['RWBY: จักรวรรดิเหมันต์'],"['Ensemble Cast', '95%', 'Fairy Tale', '92%', 'Primarily Female Cast', '91%', 'Super Power', '90%', 'School', '90%', 'Female Protagonist', '88%', 'Guns', '80%', 'Ojou-sama', '78%', 'Magic', '76%', 'Kemonomimi', '66%', 'Swordplay', '60%', 'CGI', '55%', 'Terrorism', '54%', 'Cyberpunk', '48%', 'Show 1 spoiler tags']","['Official Site JP', 'Official Site', 'Twitter JP', 'Twitter', 'Crunchyroll', 'Rooster Teeth', 'VRV', '', '', '', '']","['Adaptation', 'RWBY: Hyousetsu Teikoku THE COMIC', 'Manga · Releasing', 'Character', 'RWBY', 'Manga · Finished', 'Character', 'RWBY: The Official Manga', 'Manga · Finished', 'Character', 'RWBY: Official Manga Anthology', 'Manga · Finished']","['Ruby Rose', 'Main', 'Saori Hayami', 'Japanese', 'Weiss Schnee', 'Main', 'Youko Hikasa', 'Japanese', 'Blake Belladonna', 'Main', 'Yuu Shimamura', 'Japanese', 'Yang Xiao Long', 'Main', 'Ami Koshimizu', 'Japanese', 'Jaune Arc', 'Supporting', 'Hiro Shimono', 'Japanese', 'Pyrrha Nikos', 'Supporting', 'Megumi Toyoguchi', 'Japanese']","['Monyreak Oum', 'Original Creator', 'Gen Urobuchi', 'Original Plan', 'huke', 'Original Character Design', 'Kenjirou Okada', 'Chief Director']","['Planning', '11075 Users', 'Completed', '6620 Users', 'Current', '4652 Users', 'Dropped', '2591 Users']",[],,
Saikin Yatotta Maid ga Ayashii,"['Saikin Yatotta Maid ga Ayashii', 'There’s something really strange about the maid I just hired! No normal person could be so beautiful, or cook such amazingly delicious food, or know exactly what I want before I even ask. She must be using magic—right, a spell is the only thing that can explain why my chest feels so tight whenever I look at her. I swear, I’m going to get to the bottom of what makes this maid so...mysterious!', '', '(Source: Yen Press)']","['#74 Most Popular 2022', '#21 Most Popular Summer 2022']",['TV'],['11'],['23 mins'],"['Finished', 'Start Date', 'Jul 24, 2022', 'End Date', 'Oct 9, 2022']",['Summer 2022'],['63%'],['64%'],['25347'],['467'],"['BLADE', 'SILVER LINK.']","['ABC Animation', 'ABC Frontier', 'King Records', 'Nagoya Broadcasting Network', 'Medicos Entertainment', 'Square Enix']",['Manga'],['#最近雇ったメイドが怪しい'],"['Comedy', 'Romance', 'Slice of Life']",['Saikin Yatotta Maid ga Ayashii'],['The Maid I Hired Recently is Mysterious'],['最近雇ったメイドが怪しい'],"['Cô Hầu Gái Tôi Mới Thuê Gần Đây Thật Đáng Ngờ', 'เมดคนนี้มีพิรุธ']","['Maids', '99%', 'Tanned Skin', '92%', 'Heterosexual', '86%', 'Male Protagonist', '85%', 'Age Gap', '80%', 'Female Protagonist', '65%', 'Episodic', '65%', 'Ojou-sama', '40%', 'Shounen', '20%']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'VRV', 'YouTube (Ani-One Asia)', '', '']","['Source', 'Saikin Yatotta Maid ga Ayashii', 'Manga · Releasing']","['Lilith', 'Main', 'Rie Takahashi', 'Japanese', 'Yuuri', 'Main', 'Saori Hayami', 'Japanese', 'Fujisaki', 'Supporting', 'Mikako Komatsu', 'Japanese', 'Tsukasa Gojouin', 'Supporting', 'Yui Horie', 'Japanese', 'Natsume Nakashima', 'Supporting', 'Miyu Tomita', 'Japanese', 'Jahy', 'Background']","['Wakame Konbu', 'Original Creator', 'Mirai Minato', 'Chief Director', 'Misuzu Hoshino', 'Director', 'Yuushi Ibe', 'Assistant Director']","['Planning', '10312 Users', 'Completed', '6716 Users', 'Current', '4717 Users', 'Dropped', '2676 Users']",[],[],
Shadows House 2nd Season,"['Shadows House 2nd Season', 'After finishing their ""debut,"" Kate, Emilico and three other pairs who started with them begin a new life as adults. With the mystery of the ""Shadows House"" still unsolved, a new incident occurs in the children\'s wing. Kate and Emilico, whom the Star Bearers suspect of being malcontents, investigate a mysterious robed Shadow who may be the culprit.', '', '(Source: Anime News Network)']","['#279 Highest Rated All Time', '#27 Highest Rated 2022']",['TV'],['12'],['24 mins'],['Finished'],['Summer 2022'],['79%'],['79%'],['25224'],['520'],['CloverWorks'],"['Aniplex', 'Shueisha', 'TOKYO MX', 'BS Asahi', 'WOWOW']",['Manga'],['#シャドーハウス'],"['Fantasy', 'Horror', 'Mystery', 'Slice of Life', 'Supernatural']",['Shadows House 2nd Season'],['SHADOWS HOUSE 2nd Season'],['シャドーハウス 2nd Season'],,"['Female Protagonist', '98%', 'Primarily Child Cast', '92%', 'Ojou-sama', '90%', 'Conspiracy', '85%', 'Slavery', '84%', 'Maids', '80%', 'Cute Girls Doing Cute Things', '79%', 'Kuudere', '75%', 'Seinen', '73%', 'Butler', '72%', 'Ensemble Cast', '64%', 'Urban Fantasy', '40%', 'Circus', '10%', 'Show 7 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'Funimation', 'VRV', '', '']","['Source', 'Shadows House', 'Manga · Releasing', 'Prequel', 'Shadows House', 'TV · Finished']","['Emilico', 'Main', 'Yuu Sasahara', 'Japanese', 'Kate', 'Main', 'Akari Kitou', 'Japanese', 'Shaun', 'Supporting', 'Koudai Sakai', 'Japanese', 'John', 'Supporting', 'Koudai Sakai', 'Japanese', 'Lou', 'Supporting', 'Ayane Sakura', 'Japanese', 'Louise', 'Supporting', 'Ayane Sakura', 'Japanese']","['Soumatou', 'Original Creator', 'Kazuki Oohashi', 'Director', 'Toshiya Oono', 'Series Composition', 'Chizuko Kusakabe', 'Character Design']","['Completed', '10749 Users', 'Planning', '9966 Users', 'Current', '3454 Users', 'Paused', '623 Users']",[],,
Hoshi no Samidare,"['Hoshi no Samidare', 'One day, unremarkable college student Yuuhi Amamiya meets a talking lizard who asks for his help saving Earth from a crisis. Before he can refuse, Yuuhi is turned into a member of the Beast Knights and given a ring that gives him the psychic power “domain control.” He is then immediately attacked by an enemy! But just as all seems lost, he’s saved by the girl next door, Samidare.', '', 'But it turns out Samidare isn’t really a savior of any kind… she’s actually a demon lord who wants to conquer Earth! Drawn to her absurd strength and evil charms, Yuuhi becomes her devoted servant and acts to support her wicked schemes.', '', '(Source: Crunchyroll)']","['#91 Most Popular 2022', '#23 Most Popular Summer 2022']",['TV'],['24'],['24 mins'],['Finished'],['Summer 2022'],['50%'],['50%'],['14652'],['209'],['NAZ'],"['Nippon Animation', 'Mixer', 'Movic', 'BS11', 'Live Viewing Japan', 'Mirai Koujou', 'Mainichi Broadcasting System']",['Manga'],['#惑星のさみだれ'],"['Action', 'Comedy', 'Drama', 'Psychological', 'Supernatural']",['Hoshi no Samidare'],['Lucifer and the Biscuit Hammer'],['惑星のさみだれ'],"['ศึกอลวนต่างดาวป่วนโลก', 'Samidare Sang Bintang Kejora']","['Magic', '79%', 'Super Power', '79%', 'Seinen', '79%', 'Coming of Age', '73%', 'Male Protagonist', '50%', 'Animals', '50%', 'Ensemble Cast', '20%', 'Primarily Adult Cast', '20%', 'Cultivation', '20%', 'Urban Fantasy', '20%', 'Martial Arts', '20%', 'Heterosexual', '20%', 'College', '20%', 'Philosophy', '20%', 'Show 1 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'Hulu', 'VRV', 'YouTube (Muse Asia)', '', '', '', '']","['Source', 'Hoshi no Samidare', 'Manga · Finished']","['Samidare Asahina', 'Main', 'Naomi Oozora', 'Japanese', 'Yuuhi Amamiya', 'Main', 'Junya Enoki', 'Japanese', 'Hangetsu Shinonome', 'Supporting', 'Shuuhei Iwase', 'Japanese', 'Noi Crezant', 'Supporting', 'Kenjirou Tsuda', 'Japanese', 'Hisame Asahina', 'Supporting', 'Azusa Tadokoro', 'Japanese', 'Mikazuki Shinonome', 'Supporting', 'Gen Satou', 'Japanese']","['Satoshi Mizukami', 'Original Creator', 'Nobuaki Nakanishi', 'Director', 'Satoshi Mizukami', 'Series Composition', 'Yuuichirou Momose', 'Series Composition']","['Planning', '6159 Users', 'Dropped', '3149 Users', 'Current', '2972 Users', 'Completed', '1781 Users']",[],,
